Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Response Time Difference,Within Estimated Time,Time to Resolution (Days),Time to Resolution (Days,Estimated Time to Resolve (Minutes),Estimated Time to Resolve (Days)
In progress,1757,High,Chat,Product setup,1st line support,Kristos Westoll,2023-04-03 07:05:23,2023-04-04 07:05:23,2023-04-03 07:07:23,2023-04-03 07:05:26.004,Within SLA,0,SLA Violated,7.0,No Feedback,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,-1.9499333333333333,True,,-1.0,1440.0,1.0
Closed,1759,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-04-03 17:17:33,2023-04-04 17:17:33,2023-04-03 17:19:33,2023-04-03 17:18:17.892,Within SLA,2023-04-04 14:06:49.476,Within SLA,6.0,Average,Custom software development,Tier 1,Austria,47.6964719,13.3457347,-1.2518,True,0.9,0.9,1440.0,1.0
Closed,1761,Low,Email,Other,1st line support,Sheela Cutten,2023-04-04 13:34:57,2023-04-06 13:34:57,2023-04-04 14:34:57,2023-04-04 20:15:59.898,SLA Violated,2023-04-05 02:47:10.683,Within SLA,2.0,Good,Custom software development,Tier 1,Austria,47.6964719,13.3457347,341.04830000000004,False,0.6,0.6,2880.0,2.0
Closed,1762,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-04-04 22:42:38,2023-04-05 22:42:38,2023-04-04 22:44:38,2023-04-04 22:44:33.326,Within SLA,2023-04-06 16:31:45.536,SLA Violated,6.0,Average,Ready to use Software,Tier 1,France,48.864716,2.349014,-0.07790000000000001,True,1.7,1.7,1440.0,1.0
Resolved,1763,Low,Chat,Bug report,1st line support,Kristos Westoll,2023-04-04 12:31:49,2023-04-05 12:31:49,2023-04-04 12:33:49,2023-04-04 12:36:46.201,SLA Violated,2023-04-05 02:55:34.212,Within SLA,6.0,No Feedback,Ready to use Software,Tier 1,Poland,52.536273,19.050639,2.95335,False,0.6,0.6,1440.0,1.0
Closed,1764,Low,Chat,Bug report,1st line support,Bernard Beckley,2023-04-04 08:56:01,2023-04-05 08:56:01,2023-04-04 08:58:01,2023-04-04 08:57:43.259,Within SLA,2023-04-04 18:34:43.842,Within SLA,5.0,Good,Training and Consulting Services,Tier 1,Austria,47.6964719,13.3457347,-0.29568333333333335,True,0.4,0.4,1440.0,1.0
Resolved,1765,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,2023-04-04 11:05:30,2023-04-05 11:05:30,2023-04-04 11:07:30,2023-04-04 11:05:38.316,Within SLA,2023-04-05 01:55:44.008,Within SLA,6.0,No Feedback,Ready to use Software,Tier 2,United Kingdom,55.378052,-3.435973,-1.8614,True,0.6,0.6,1440.0,1.0
Closed,1766,Low,Email,Other,2nd line support,Michele Whyatt,2023-04-05 02:02:11,2023-04-07 02:02:11,2023-04-05 03:02:11,2023-04-05 02:51:18.094,Within SLA,2023-04-05 08:47:58.502,Within SLA,1.0,Good,Other,Tier 2,United Kingdom,55.378052,-3.435973,-10.881766666666666,True,0.3,0.3,2880.0,2.0
Closed,1767,High,Chat,Product setup,1st line support,Connor Danielovitch,2023-04-05 10:03:11,2023-04-06 10:03:11,2023-04-05 10:05:11,2023-04-05 10:04:28.180,Within SLA,2023-04-07 11:19:05.354,SLA Violated,5.0,Average,Ready to use Software,Tier 1,Poland,52.536273,19.050639,-0.7136666666666667,True,2.1,2.1,1440.0,1.0
In progress,1768,Low,Chat,Product setup,1st line support,Nicola Wane,2023-04-05 21:15:23,2023-04-06 21:15:23,2023-04-05 21:17:23,2023-04-05 21:16:40.783,Within SLA,0,SLA Violated,8.0,No Feedback,Training and Consulting Services,Tier 1,Bulgaria,42.7249925,25.4833039,-0.7036166666666667,True,,-1.0,1440.0,1.0
In progress,1769,Low,Email,Feature request,2nd line support,Heather Urry,2023-04-05 11:07:48,2023-04-07 11:07:48,2023-04-05 12:07:48,2023-04-05 11:37:02.660,Within SLA,0,SLA Violated,3.0,No Feedback,Custom software development,Tier 2,Germany,51.165691,10.451526,-30.755666666666666,True,,-1.0,2880.0,2.0
Open,1770,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,2023-04-05 16:27:41,2023-04-07 16:27:41,2023-04-05 17:27:41,2023-04-05 18:27:41.000,SLA Violated,0,SLA Violated,5.544692737430168,No Feedback,Ready to use Software,Tier 1,Germany,51.165691,10.451526,60.0,False,,-1.0,2880.0,2.0
Closed,1771,High,Chat,Product setup,1st line support,Connor Danielovitch,2023-04-05 07:14:31,2023-04-06 07:14:31,2023-04-05 07:16:31,2023-04-05 07:15:05.002,Within SLA,2023-04-06 02:39:11.419,Within SLA,4.0,Good,Ready to use Software,Tier 1,Poland,52.536273,19.050639,-1.4333,True,0.8,0.8,1440.0,1.0
Closed,1772,Medium,Chat,Feature request,1st line support,Nicola Wane,2023-04-06 03:30:54,2023-04-07 03:30:54,2023-04-06 03:32:54,2023-04-06 03:32:38.347,Within SLA,2023-04-06 04:31:02.587,Within SLA,4.0,Excellent,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-0.26088333333333336,True,0.0,0.0,1440.0,1.0
Resolved,1773,High,Email,Pricing and Licensing,1st line support,Sheela Cutten,2023-04-06 17:18:15,2023-04-08 17:18:15,2023-04-06 18:18:15,2023-04-06 17:45:14.492,Within SLA,2023-04-07 07:13:28.117,Within SLA,8.0,No Feedback,Custom software development,Tier 1,Italy,43.036776,12.678565,-33.00846666666667,True,0.6,0.6,2880.0,2.0
Closed,1774,Medium,Email,Bug report,2nd line support,Heather Urry,2023-04-06 02:59:03,2023-04-08 02:59:03,2023-04-06 03:59:03,2023-04-06 03:39:49.376,Within SLA,2023-04-07 02:15:49.015,Within SLA,5.0,Good,Custom software development,Tier 2,Slovenia,46.1491664,14.9860106,-19.227066666666666,True,1.0,1.0,2880.0,2.0
Closed,1775,Medium,Email,Product setup,1st line support,Connor Danielovitch,2023-04-06 18:15:46,2023-04-08 18:15:46,2023-04-06 19:15:46,2023-04-06 19:00:39.845,Within SLA,2023-04-08 07:58:44.577,Within SLA,2.0,Good,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675,-15.102583333333333,True,1.6,1.6,2880.0,2.0
Closed,1777,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-04-06 04:54:37,2023-04-08 04:54:37,2023-04-06 05:54:37,2023-04-06 05:44:36.797,Within SLA,2023-04-06 14:47:23.162,Within SLA,2.0,Good,Other,Tier 1,Italy,43.036776,12.678565,-10.003383333333334,True,0.4,0.4,2880.0,2.0
In progress,1778,Medium,Email,Training request,2nd line support,Heather Urry,2023-04-06 18:43:11,2023-04-08 18:43:11,2023-04-06 19:43:11,2023-04-06 19:34:18.735,Within SLA,0,SLA Violated,4.0,No Feedback,Training and Consulting Services,Tier 2,France,48.864716,2.349014,-8.871083333333333,True,,-1.0,2880.0,2.0
Closed,1779,Medium,Email,Product setup,1st line support,Connor Danielovitch,2023-04-07 02:13:34,2023-04-09 02:13:34,2023-04-07 03:13:34,2023-04-07 03:01:51.838,Within SLA,2023-04-08 13:42:13.194,Within SLA,3.0,Average,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,-11.7027,True,1.5,1.5,2880.0,2.0
Resolved,1780,Low,Chat,Product setup,2nd line support,Adolpho Messingham,2023-04-07 22:19:14,2023-04-08 22:19:14,2023-04-07 22:21:14,2023-04-07 22:24:33.772,SLA Violated,2023-04-09 11:25:33.590,SLA Violated,4.0,No Feedback,Ready to use Software,Tier 2,Germany,51.165691,10.451526,3.329533333333333,False,1.5,1.5,1440.0,1.0
In progress,1782,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-04-07 18:21:00,2023-04-09 18:21:00,2023-04-07 19:21:00,2023-04-07 18:39:32.472,Within SLA,0,SLA Violated,1.0,No Feedback,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-41.4588,True,,-1.0,2880.0,2.0
Closed,1783,Medium,Email,Feature request,2nd line support,Heather Urry,2023-04-07 05:02:22,2023-04-09 05:02:22,2023-04-07 06:02:22,2023-04-07 05:18:28.230,Within SLA,2023-04-07 21:08:59.618,Within SLA,1.0,Very Poor,Ready to use Software,Tier 2,Slovenia,46.1491664,14.9860106,-43.896166666666666,True,0.7,0.7,2880.0,2.0
Closed,1784,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-04-07 07:46:50,2023-04-09 07:46:50,2023-04-07 08:46:50,2023-04-07 08:03:59.019,Within SLA,2023-04-08 18:08:43.269,Within SLA,2.0,Good,Ready to use Software,Tier 1,Italy,43.036776,12.678565,-42.84968333333334,True,1.4,1.4,2880.0,2.0
In progress,1801,High,Phone,Feature request,1st line support,Connor Danielovitch,2023-04-09 11:16:06,2023-04-11 11:16:06,2023-04-09 11:18:06,2023-04-09 11:17:29.546,Within SLA,0,SLA Violated,2.0,No Feedback,Custom software development,Tier 1,Poland,52.536273,19.050639,-0.6075666666666667,True,,-1.0,2880.0,2.0
In progress,1802,Low,Chat,Pricing and Licensing,1st line support,Nicola Wane,2023-04-09 18:24:07,2023-04-10 18:24:07,2023-04-09 18:26:07,2023-04-09 18:24:07.401,Within SLA,0,SLA Violated,7.0,No Feedback,Custom software development,Tier 1,Greece,39.368279,21.863141,-1.9933166666666666,True,,-1.0,1440.0,1.0
Closed,1803,Low,Email,Other,1st line support,Connor Danielovitch,2023-04-09 01:54:49,2023-04-11 01:54:49,2023-04-09 02:54:49,2023-04-09 02:31:16.053,Within SLA,2023-04-10 22:57:35.709,Within SLA,1.0,Good,Custom software development,Tier 1,Spain,39.67337,-4.767726,-23.549116666666666,True,1.9,1.9,2880.0,2.0
In progress,1804,Medium,Chat,Product setup,2nd line support,Michele Whyatt,2023-04-09 17:35:53,2023-04-10 17:35:53,2023-04-09 17:37:53,2023-04-09 17:36:50.882,Within SLA,0,SLA Violated,6.0,No Feedback,Ready to use Software,Tier 2,Bulgaria,42.7249925,25.4833039,-1.0353,True,,-1.0,1440.0,1.0
Resolved,1805,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-04-09 16:50:10,2023-04-11 16:50:10,2023-04-09 17:50:10,2023-04-09 17:34:55.558,Within SLA,2023-04-10 08:09:14.993,Within SLA,1.0,No Feedback,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,-15.2407,True,0.6,0.6,2880.0,2.0
Closed,1806,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-04-09 01:08:39,2023-04-11 01:08:39,2023-04-09 02:08:39,2023-04-09 03:45:29.349,SLA Violated,2023-04-10 08:28:57.837,Within SLA,4.0,Very Poor,Custom software development,Tier 1,France,48.864716,2.349014,96.83915,False,1.3,1.3,2880.0,2.0
In progress,1807,Medium,Email,Product setup,1st line support,Nicola Wane,2023-04-10 16:07:38,2023-04-12 16:07:38,2023-04-10 17:07:38,2023-04-10 16:39:13.721,Within SLA,0,SLA Violated,10.0,No Feedback,Other,Tier 1,France,48.864716,2.349014,-28.40465,True,,-1.0,2880.0,2.0
Resolved,1808,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-04-10 22:37:41,2023-04-11 22:37:41,2023-04-10 22:39:41,2023-04-10 22:37:48.134,Within SLA,2023-04-11 11:57:15.881,Within SLA,60.0,No Feedback,Ready to use Software,Tier 1,Italy,43.036776,12.678565,-1.8811,True,0.6,0.6,1440.0,1.0
Closed,1809,High,Chat,Feature request,1st line support,Nicola Wane,2023-04-10 12:36:32,2023-04-11 12:36:32,2023-04-10 12:38:32,2023-04-10 12:38:22.629,Within SLA,2023-04-10 12:50:51.911,Within SLA,3.0,Good,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-0.15618333333333334,True,0.0,0.0,1440.0,1.0
Closed,1810,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-04-10 12:46:24,2023-04-11 12:46:24,2023-04-10 12:48:24,2023-04-10 12:50:10.895,SLA Violated,2023-04-11 00:11:43.652,Within SLA,3.0,Poor,Training and Consulting Services,Tier 1,Bulgaria,42.7249925,25.4833039,1.7815833333333333,False,0.5,0.5,1440.0,1.0
Closed,1811,Medium,Email,Pricing and Licensing,1st line support,Kristos Westoll,2023-04-10 16:21:25,2023-04-12 16:21:25,2023-04-10 17:21:25,2023-04-10 16:40:07.242,Within SLA,2023-04-12 07:12:02.988,Within SLA,1.0,Good,Custom software development,Tier 1,Italy,43.036776,12.678565,-41.295966666666665,True,1.6,1.6,2880.0,2.0
In progress,1812,High,Phone,Product setup,1st line support,Kristos Westoll,2023-04-10 19:44:07,2023-04-12 19:44:07,2023-04-10 19:46:07,2023-04-10 19:44:18.651,Within SLA,0,SLA Violated,1.0,No Feedback,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-1.8058166666666666,True,,-1.0,2880.0,2.0
In progress,1813,High,Chat,Purchasing and invoicing,2nd line support,Heather Urry,2023-04-10 22:39:59,2023-04-11 22:39:59,2023-04-10 22:41:59,2023-04-10 22:41:25.915,Within SLA,0,SLA Violated,60.0,No Feedback,Ready to use Software,Tier 2,Greece,39.368279,21.863141,-0.5514166666666667,True,,-1.0,1440.0,1.0
Closed,1814,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-04-11 08:22:38,2023-04-13 08:22:38,2023-04-11 09:22:38,2023-04-11 09:17:03.241,Within SLA,2023-04-13 10:31:22.837,SLA Violated,1.0,Good,Other,Tier 1,Greece,39.368279,21.863141,-5.579316666666667,True,2.1,2.1,2880.0,2.0
Closed,1815,Low,Chat,Training request,1st line support,Sheela Cutten,2023-04-11 17:54:18,2023-04-12 17:54:18,2023-04-11 17:56:18,2023-04-11 17:54:44.069,Within SLA,2023-04-11 19:39:36.310,Within SLA,4.0,Excellent,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565,-1.5655166666666667,True,0.1,0.1,1440.0,1.0
Closed,1816,Low,Phone,Feature request,1st line support,Bernard Beckley,2023-04-11 01:46:54,2023-04-13 01:46:54,2023-04-11 01:48:54,2023-04-11 01:50:42.780,SLA Violated,2023-04-11 05:46:09.190,Within SLA,5.0,Very Poor,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,1.813,False,0.2,0.2,2880.0,2.0
Resolved,1817,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,2023-04-11 01:35:11,2023-04-13 01:35:11,2023-04-11 02:35:11,2023-04-11 01:46:52.065,Within SLA,2023-04-11 22:55:17.358,Within SLA,2.0,No Feedback,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-48.31558333333333,True,0.9,0.9,2880.0,2.0
Resolved,1818,Low,Chat,Pricing and Licensing,1st line support,Sheela Cutten,2023-04-11 09:01:04,2023-04-12 09:01:04,2023-04-11 09:03:04,2023-04-11 09:01:56.891,Within SLA,2023-04-11 11:41:50.880,Within SLA,4.0,No Feedback,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,-1.1184833333333333,True,0.1,0.1,1440.0,1.0
Resolved,1819,Low,Email,Product setup,2nd line support,Heather Urry,2023-04-11 11:17:59,2023-04-13 11:17:59,2023-04-11 12:17:59,2023-04-11 11:43:48.712,Within SLA,2023-04-12 05:01:52.062,Within SLA,3.0,No Feedback,Other,Tier 2,Republic of Ireland,53.094024,-8.019675,-34.17146666666667,True,0.7,0.7,2880.0,2.0
Resolved,1820,Low,Email,Other,1st line support,Bernard Beckley,2023-04-11 17:12:33,2023-04-13 17:12:33,2023-04-11 18:12:33,2023-04-11 17:38:03.466,Within SLA,2023-04-13 04:22:46.522,Within SLA,5.0,No Feedback,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106,-34.49223333333334,True,1.5,1.5,2880.0,2.0
In progress,1821,Low,Email,Feature request,2nd line support,Heather Urry,2023-04-11 17:28:21,2023-04-13 17:28:21,2023-04-11 18:28:21,2023-04-11 17:57:04.242,Within SLA,0,SLA Violated,9.0,No Feedback,Custom software development,Tier 2,United Kingdom,55.378052,-3.435973,-31.2793,True,,-1.0,2880.0,2.0
Closed,1822,Low,Phone,Pricing and licensing,1st line support,Nicola Wane,2023-04-11 17:15:06,2023-04-13 17:15:06,2023-04-11 17:17:06,2023-04-11 17:16:14.068,Within SLA,2023-04-13 14:36:20.240,Within SLA,1.0,Average,Ready to use Software,Tier 1,Italy,43.036776,12.678565,-0.8655333333333334,True,1.9,1.9,2880.0,2.0
In progress,1823,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-04-11 07:16:39,2023-04-12 07:16:39,2023-04-11 07:18:39,2023-04-11 07:18:12.058,Within SLA,0,SLA Violated,7.0,No Feedback,Other,Tier 1,Italy,43.036776,12.678565,-0.44903333333333334,True,,-1.0,1440.0,1.0
Resolved,1824,Low,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,2023-04-11 00:07:48,2023-04-12 00:07:48,2023-04-11 00:09:48,2023-04-11 00:08:37.165,Within SLA,2023-04-11 11:06:40.521,Within SLA,4.0,No Feedback,Ready to use Software,Tier 1,France,48.864716,2.349014,-1.1805833333333333,True,0.5,0.5,1440.0,1.0
Closed,1825,Low,Email,Feature request,1st line support,Sheela Cutten,2023-04-11 13:44:37,2023-04-13 13:44:37,2023-04-11 14:44:37,2023-04-11 13:49:27.132,Within SLA,2023-04-12 15:40:00.658,Within SLA,2.0,Good,Ready to use Software,Tier 1,Poland,52.536273,19.050639,-55.16446666666666,True,1.1,1.1,2880.0,2.0
Resolved,1826,Low,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-04-12 05:24:50,2023-04-13 05:24:50,2023-04-12 05:26:50,2023-04-12 05:24:52.171,Within SLA,2023-04-12 06:26:02.502,Within SLA,4.0,No Feedback,Ready to use Software,Tier 2,Germany,51.165691,10.451526,-1.9638166666666665,True,0.0,0.0,1440.0,1.0
Resolved,1827,Medium,Email,Pricing and Licensing,1st line support,Connor Danielovitch,2023-04-12 02:54:55,2023-04-14 02:54:55,2023-04-12 03:54:55,2023-04-12 09:25:30.528,SLA Violated,2023-04-14 02:45:59.718,Within SLA,2.0,No Feedback,Custom software development,Tier 1,Italy,43.036776,12.678565,330.5921333333333,False,2.0,2.0,2880.0,2.0
Closed,1828,Low,Phone,Pricing and Licensing,1st line support,Kristos Westoll,2023-04-12 15:36:14,2023-04-14 15:36:14,2023-04-12 15:38:14,2023-04-12 15:36:18.309,Within SLA,2023-04-15 13:19:55.038,SLA Violated,7.0,Good,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,-1.9281833333333334,True,2.9,2.9,2880.0,2.0
Resolved,1829,Low,Chat,Feature request,2nd line support,Adolpho Messingham,2023-04-12 23:18:18,2023-04-13 23:18:18,2023-04-12 23:20:18,2023-04-12 23:22:07.115,SLA Violated,2023-04-15 21:38:33.388,SLA Violated,6.0,No Feedback,Ready to use Software,Tier 2,Poland,52.536273,19.050639,1.8185833333333332,False,2.9,2.9,1440.0,1.0
Closed,1830,High,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-04-12 23:28:44,2023-04-13 23:28:44,2023-04-12 23:30:44,2023-04-12 23:29:29.286,Within SLA,2023-04-16 14:22:47.527,SLA Violated,60.0,Excellent,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,-1.2452333333333334,True,3.6,3.6,1440.0,1.0
In progress,1831,Medium,Email,Feature request,1st line support,Nicola Wane,2023-04-12 08:21:31,2023-04-14 08:21:31,2023-04-12 09:21:31,2023-04-12 08:59:02.751,Within SLA,0,SLA Violated,7.0,No Feedback,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,-22.470816666666668,True,,-1.0,2880.0,2.0
In progress,1832,Medium,Email,Feature request,1st line support,Connor Danielovitch,2023-04-12 08:29:48,2023-04-14 08:29:48,2023-04-12 09:29:48,2023-04-12 09:00:22.868,Within SLA,0,SLA Violated,1.0,No Feedback,Custom software development,Tier 1,Italy,43.036776,12.678565,-29.418866666666666,True,,-1.0,2880.0,2.0
Resolved,1833,High,Email,Product setup,1st line support,Nicola Wane,2023-04-12 14:38:23,2023-04-14 14:38:23,2023-04-12 15:38:23,2023-04-12 15:07:18.399,Within SLA,2023-04-14 04:45:43.148,Within SLA,1.0,No Feedback,Other,Tier 1,Republic of Ireland,53.094024,-8.019675,-31.076683333333335,True,1.6,1.6,2880.0,2.0
Resolved,1834,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-04-13 18:53:11,2023-04-15 18:53:11,2023-04-13 19:53:11,2023-04-13 19:51:19.635,Within SLA,2023-04-14 03:27:43.216,Within SLA,1.0,No Feedback,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-1.8560833333333333,True,0.4,0.4,2880.0,2.0
Closed,1835,Low,Phone,Pricing and licensing,1st line support,Connor Danielovitch,2023-04-13 19:59:15,2023-04-15 19:59:15,2023-04-13 20:01:15,2023-04-13 20:01:13.321,Within SLA,2023-04-15 15:27:18.168,Within SLA,2.0,Excellent,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973,-0.027983333333333336,True,1.8,1.8,2880.0,2.0
Closed,1836,Low,Chat,Product setup,2nd line support,Heather Urry,2023-04-13 22:21:58,2023-04-14 22:21:58,2023-04-13 22:23:58,2023-04-13 22:23:11.243,Within SLA,2023-04-14 10:07:33.970,Within SLA,5.0,Average,Ready to use Software,Tier 2,Czech Republic,49.8037633,15.4749126,-0.7792833333333333,True,0.5,0.5,1440.0,1.0
Resolved,1838,Low,Chat,Bug report,1st line support,Bernard Beckley,2023-04-13 01:38:11,2023-04-14 01:38:11,2023-04-13 01:40:11,2023-04-13 01:39:04.045,Within SLA,2023-04-13 15:40:36.604,Within SLA,6.0,No Feedback,Custom software development,Tier 1,Poland,52.536273,19.050639,-1.1159166666666667,True,0.6,0.6,1440.0,1.0
Closed,1839,Low,Email,Training request,1st line support,Nicola Wane,2023-04-13 21:53:53,2023-04-15 21:53:53,2023-04-13 22:53:53,2023-04-13 22:01:38.380,Within SLA,2023-04-14 11:07:40.907,Within SLA,10.0,Excellent,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639,-52.24366666666666,True,0.6,0.6,2880.0,2.0
In progress,1840,Low,Chat,Bug report,1st line support,Sheela Cutten,2023-04-13 00:46:33,2023-04-14 00:46:33,2023-04-13 00:48:33,2023-04-13 00:47:29.777,Within SLA,0,SLA Violated,6.0,No Feedback,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,-1.0537166666666666,True,,-1.0,1440.0,1.0
Closed,1841,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-04-13 03:49:42,2023-04-15 03:49:42,2023-04-13 04:49:42,2023-04-13 03:51:05.711,Within SLA,2023-04-14 14:03:48.646,Within SLA,6.0,Excellent,Training and Consulting Services,Tier 1,Slovenia,46.1491664,14.9860106,-58.60481666666667,True,1.4,1.4,2880.0,2.0
Closed,1842,Medium,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-04-14 10:24:24,2023-04-15 10:24:24,2023-04-14 10:26:24,2023-04-14 10:25:12.466,Within SLA,2023-04-15 09:53:26.213,Within SLA,6.0,Average,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,-1.1922333333333335,True,1.0,1.0,1440.0,1.0
Resolved,1844,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-04-14 01:08:18,2023-04-15 01:08:18,2023-04-14 01:10:18,2023-04-14 01:08:36.110,Within SLA,2023-04-16 12:44:37.851,SLA Violated,3.0,No Feedback,Custom software development,Tier 1,Greece,39.368279,21.863141,-1.6981666666666666,True,2.5,2.5,1440.0,1.0
Closed,1845,Medium,Chat,Bug report,1st line support,Kristos Westoll,2023-04-14 13:04:45,2023-04-15 13:04:45,2023-04-14 13:06:45,2023-04-14 13:10:26.911,SLA Violated,2023-04-14 15:01:36.222,Within SLA,60.0,Excellent,Ready to use Software,Tier 1,Germany,51.165691,10.451526,3.698516666666667,False,0.1,0.1,1440.0,1.0
Closed,1846,Medium,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-04-15 19:19:28,2023-04-17 19:19:28,2023-04-15 20:19:28,2023-04-15 19:25:52.928,Within SLA,2023-04-16 09:26:26.061,Within SLA,5.0,Good,Ready to use Software,Tier 2,Bulgaria,42.7249925,25.4833039,-53.58453333333333,True,0.6,0.6,2880.0,2.0
Closed,1847,Medium,Email,Feature request,2nd line support,Adolpho Messingham,2023-04-15 19:16:48,2023-04-17 19:16:48,2023-04-15 20:16:48,2023-04-15 19:58:48.300,Within SLA,2023-04-17 13:55:14.173,Within SLA,1.0,Very Poor,Ready to use Software,Tier 2,Italy,43.036776,12.678565,-17.995,True,1.8,1.8,2880.0,2.0
In progress,1849,High,Chat,Pricing and licensing,1st line support,Connor Danielovitch,2023-04-15 14:20:11,2023-04-16 14:20:11,2023-04-15 14:22:11,2023-04-15 14:23:24.764,SLA Violated,0,SLA Violated,4.0,No Feedback,Custom software development,Tier 1,Italy,43.036776,12.678565,1.2293999999999998,False,,-1.0,1440.0,1.0
Resolved,1858,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,2023-04-16 08:24:34,2023-04-17 08:24:34,2023-04-16 08:26:34,2023-04-16 08:25:45.449,Within SLA,2023-04-16 11:39:02.144,Within SLA,9.0,No Feedback,Ready to use Software,Tier 1,Italy,43.036776,12.678565,-0.8091833333333334,True,0.1,0.1,1440.0,1.0
In progress,1859,High,Chat,Other,1st line support,Nicola Wane,2023-04-16 21:38:28,2023-04-17 21:38:28,2023-04-16 21:40:28,2023-04-16 21:40:14.403,Within SLA,0,SLA Violated,3.0,No Feedback,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039,-0.22661666666666666,True,,-1.0,1440.0,1.0
Resolved,1860,Medium,Email,Bug report,1st line support,Nicola Wane,2023-04-16 08:37:24,2023-04-18 08:37:24,2023-04-16 09:37:24,2023-04-16 09:12:12.725,Within SLA,2023-04-18 14:42:57.722,SLA Violated,1.0,No Feedback,Custom software development,Tier 1,Germany,51.165691,10.451526,-25.18791666666667,True,2.3,2.3,2880.0,2.0
Resolved,1861,Medium,Email,Product setup,1st line support,Bernard Beckley,2023-04-16 08:28:16,2023-04-18 08:28:16,2023-04-16 09:28:16,2023-04-16 12:58:06.634,SLA Violated,2023-04-16 08:51:36.925,Within SLA,4.0,No Feedback,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126,209.8439,False,0.0,0.0,2880.0,2.0
Resolved,1862,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-04-16 22:55:36,2023-04-17 22:55:36,2023-04-16 22:57:36,2023-04-16 22:56:49.060,Within SLA,2023-04-17 08:29:33.606,Within SLA,4.0,No Feedback,Training and Consulting Services,Tier 2,Germany,51.165691,10.451526,-0.7823333333333333,True,0.4,0.4,1440.0,1.0
Closed,1863,High,Email,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-04-17 15:18:43,2023-04-19 15:18:43,2023-04-17 16:18:43,2023-04-17 15:45:07.405,Within SLA,2023-04-19 11:13:21.997,Within SLA,1.0,Average,Other,Tier 2,Italy,43.036776,12.678565,-33.59325,True,1.8,1.8,2880.0,2.0
Closed,1864,Medium,Email,Feature request,1st line support,Bernard Beckley,2023-04-17 16:20:30,2023-04-19 16:20:30,2023-04-17 17:20:30,2023-04-17 17:14:28.563,Within SLA,2023-04-17 20:16:38.485,Within SLA,2.0,Good,Custom software development,Tier 1,Germany,51.165691,10.451526,-6.02395,True,0.2,0.2,2880.0,2.0
